Ticker,5m_Datetime,5m_Open,5m_High,5m_Low,5m_Close,5m_Volume,RSI_14_5m,ATR_14_5m,return_1d_5m,volatility_5_5m,volume_5m,15m_Datetime,15m_Open,15m_High,15m_Low,15m_Close,15m_Volume,RSI_14_15m,ATR_14_15m,return_1d_15m,volatility_5_15m,volume_15m,1h_Datetime,1h_Open,1h_High,1h_Low,1h_Close,1h_Volume,RSI_14_1h,ATR_14_1h,return_1d_1h,volatility_5_1h,volume_1h,1d_Datetime,1d_Open,1d_High,1d_Low,1d_Close,1d_Volume,RSI_14_1d,ATR_14_1d,return_1d_1d,volatility_5_1d,volume_1d,Close,Open,High,Low,Volume
RELIANCE.NS,2025-10-03 09:55:00+00:00,1363.0,1363.699951171875,1362.5999755859375,1363.4000244140625,265244,,,0.00022012239270718936,0.00042889948148029373,265244.0,2025-10-03 09:45:00+00:00,1362.699951171875,1363.800048828125,1362.5,1363.4000244140625,1036897,,,0.0005137398306835905,0.0009565385806863606,1036897.0,2025-10-03 09:45:00+00:00,1362.699951171875,1363.800048828125,1362.5,1363.4000244140625,1036897,,,0.0005137398306835905,0.0013759411546184566,1036897.0,2025-10-03,1363.199951171875,1371.5999755859375,1356.9000244140625,1363.4000244140625,12839106,,,-0.003872234198061264,0.00463469130355987,12839106.0,1363.4000244140625,1362.699951171875,1363.800048828125,1362.5,1036897
HDFCBANK.NS,2025-10-03 09:55:00+00:00,964.5999755859375,964.75,963.0,964.0,535564,,,-0.0005702014410131628,0.0006809353858306989,535564.0,2025-10-03 09:45:00+00:00,965.2000122070312,965.2000122070312,963.0,964.0,2256299,,,-0.0012950012950012635,0.0012708789524101213,2256299.0,2025-10-03 09:45:00+00:00,965.2000122070312,965.2000122070312,963.0,964.0,2256299,,,-0.0012950012950012635,0.0014163846255330792,2256299.0,2025-10-03,952.0,966.75,952.0,965.1500244140625,26651982,,,-0.00010357481060607743,0.007574845759692488,26651982.0,964.0,965.2000122070312,965.2000122070312,963.0,2256299
ICICIBANK.NS,2025-10-03 09:55:00+00:00,1365.0,1365.4000244140625,1364.0999755859375,1365.0,285712,,,0.0,0.00022563292678969387,285712.0,2025-10-03 09:45:00+00:00,1365.199951171875,1365.4000244140625,1364.0999755859375,1365.0,960107,,,-7.323682347482041e-05,0.0013624442623815284,960107.0,2025-10-03 09:45:00+00:00,1365.199951171875,1365.4000244140625,1364.0999755859375,1365.0,960107,,,-7.323682347482041e-05,0.0022574159090397506,960107.0,2025-10-03,1371.9000244140625,1371.9000244140625,1361.300048828125,1365.199951171875,12163348,,,-0.00495630381058676,0.01162566189694848,12163348.0,1365.0,1365.199951171875,1365.4000244140625,1364.0999755859375,960107
SBIN.NS,2025-10-03 09:55:00+00:00,867.5999755859375,867.75,867.0999755859375,867.7000122070312,142837,,,0.00011530270160076128,0.000472767977635013,142837.0,2025-10-03 09:45:00+00:00,867.0499877929688,867.75,866.7000122070312,867.7000122070312,563321,,,0.0005765682575666897,0.0012156832594025452,563321.0,2025-10-03 09:45:00+00:00,867.0499877929688,867.75,866.7000122070312,867.7000122070312,563321,,,0.0005765682575666897,0.0018833538800905995,563321.0,2025-10-03,865.1500244140625,873.0,863.7999877929688,867.2999877929688,8018019,,,0.003703289315407421,0.009766634933440118,8018019.0,867.7000122070312,867.0499877929688,867.75,866.7000122070312,563321
AXISBANK.NS,2025-10-03 09:55:00+00:00,1182.9000244140625,1185.9000244140625,1182.5999755859375,1185.0999755859375,1382666,,,0.002113986175892979,0.0012281726481343153,1382666.0,2025-10-03 09:45:00+00:00,1177.0999755859375,1185.9000244140625,1177.0999755859375,1185.0999755859375,2956911,,,0.006710860297095778,0.00340167912247211,2956911.0,2025-10-03 09:45:00+00:00,1177.0999755859375,1185.9000244140625,1177.0999755859375,1185.0999755859375,2956911,,,0.006710860297095778,0.003056925301155457,2956911.0,2025-10-03,1171.0,1188.0,1169.5,1181.0,11071741,,,0.018542475204829767,0.018653628269785897,11071741.0,1185.0999755859375,1177.0999755859375,1185.9000244140625,1177.0999755859375,2956911
TCS.NS,2025-10-03 09:55:00+00:00,2903.0,2904.0,2900.199951171875,2903.0,106906,,,0.0,0.0005163103885846431,106906.0,2025-10-03 09:45:00+00:00,2900.89990234375,2904.0,2900.10009765625,2903.0,367358,,,0.0007583946272904374,0.0013686790171197863,367358.0,2025-10-03 09:45:00+00:00,2900.89990234375,2904.0,2900.10009765625,2903.0,367358,,,0.0007583946272904374,0.0016973133287878123,367358.0,2025-10-03,2924.0,2924.0,2891.10009765625,2901.89990234375,2899155,,,-0.004220729199854278,0.01030107129288819,2899155.0,2903.0,2900.89990234375,2904.0,2900.10009765625,367358
INFY.NS,2025-10-03 09:55:00+00:00,1445.9000244140625,1447.0,1445.5999755859375,1446.199951171875,159246,,,0.0001382788187240802,0.00023745155980269995,159246.0,2025-10-03 09:45:00+00:00,1446.5,1447.9000244140625,1445.0,1446.199951171875,708919,,,-0.00027652731979377343,0.0017732963435491062,708919.0,2025-10-03 09:45:00+00:00,1446.5,1447.9000244140625,1445.0,1446.199951171875,708919,,,-0.00027652731979377343,0.0028035197942405236,708919.0,2025-10-03,1439.0,1448.300048828125,1433.199951171875,1446.5999755859375,6877017,,,0.0005532762005788783,0.010999832467365613,6877017.0,1446.199951171875,1446.5,1447.9000244140625,1445.0,708919
MARUTI.NS,2025-10-03 09:55:00+00:00,15809.0,15812.0,15808.0,15810.0,15210,,,0.00018978933383939633,0.0005455834898321113,15210.0,2025-10-03 09:45:00+00:00,15798.0,15815.0,15794.0,15810.0,56501,,,0.0009496676163343043,0.0012023997074060667,56501.0,2025-10-03 09:45:00+00:00,15798.0,15815.0,15794.0,15810.0,56501,,,0.0009496676163343043,0.0027893659605006285,56501.0,2025-10-03,15949.0,16025.0,15736.0,15806.0,470057,,,-0.009959285937989337,0.008717992729363045,470057.0,15810.0,15798.0,15815.0,15794.0,56501
ADANIENT.NS,2025-10-03 09:55:00+00:00,2588.800048828125,2589.800048828125,2585.800048828125,2588.699951171875,17615,,,-3.866565758725571e-05,0.000497710574381256,17615.0,2025-10-03 09:45:00+00:00,2592.5,2593.0,2584.199951171875,2588.699951171875,80939,,,-0.0016968671931916202,0.00118535130228502,80939.0,2025-10-03 09:45:00+00:00,2592.5,2593.0,2584.199951171875,2588.699951171875,80939,,,-0.0016968671931916202,0.002639401571161335,80939.0,2025-10-03,2595.0,2612.89990234375,2564.39990234375,2589.89990234375,917570,,,-0.0010799741122605733,0.019606906697067068,917570.0,2588.699951171875,2592.5,2593.0,2584.199951171875,80939
^NSEI,2025-10-03 09:55:00+00:00,24895.44921875,24900.80078125,24884.25,24895.0,0,,,-4.016709511567296e-05,0.0003205908233105143,0.0,2025-10-03 09:45:00+00:00,24888.94921875,24900.80078125,24879.5,24895.0,0,,,0.0002611647949857243,0.0008226563901376186,0.0,2025-10-03 09:45:00+00:00,24888.94921875,24900.80078125,24879.5,24895.0,0,,,0.0002611647949857243,0.0016755463542572422,0.0,2025-10-03,24759.55078125,24904.80078125,24747.55078125,24894.25,0,,,0.0023332467769816567,0.006722223720147548,0.0,24895.0,24888.94921875,24900.80078125,24879.5,0
